,2023,2024
O=C1CCC(=O)N1O,0.5,0.5
O=C(CBr)OCc1ccccc1,0.7,0.6
COC(=O)c1cc(Br)ccn1,2.6,1.7
CN(CC(=O)O)C(=O)OC(C)(C)C,0.9,0.9
CC(C)(C)[Si](C)(C)OCC(=O)O,318.2,144.8
COC(=O)c1ccc(Br)c(C)c1,1.3,1.4
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],3.2,3.2
CN(CC(=O)O)S(C)(=O)=O,48.4,40.4
CCOC(=O)c1cc(Br)ccn1,6.0,6.4
Cc1cc(C(=O)O)ccc1N,0.7,0.6
CNOC,38.6,0.9
NC(=O)CCl,3.2,2.5
NCCO,3.2,2.4
CNCC(N)=O,180.0,2.4
O=C(O)CO,3.2,2.2
Cc1ccc(S(=O)(=O)Cl)cc1,3.2,3.2
CC(C)(C)OC(=O)NS(C)(=O)=O,16.7,17.1
Brc1cncc(I)c1,4.7,4.1
CS(=O)(=O)OS(C)(=O)=O,0.6,0.6
CCOC(=O)CNC,132.0,2.4
CC(C)(C)OC(=O)ON=C(C#N)c1ccccc1,1.5,3.2
CC(C)[C@H](N)CO,1.0,1.0
O=C(O)c1cnc(C(=O)O)cn1,2.5,1.5
O=C(O)C(F)(F)F,2.7,0.5
CCOc1ccc(B(O)O)cc1,1.2,1.3
CC(C)(C)OCC(=O)O,6.1,3.0
Clc1nc(Cl)c2nc[nH]c2n1,1.2,1.2
O=C(Cl)COCc1ccccc1,3.4,3.9
CCOC(=O)CNC(C)=O,1.7,1.4
Brc1ccccc1,3.2,3.2
O=C(O)COCc1ccccc1,0.8,0.8
C1=COCCC1,3.2,3.2
CC(C)N,2.7,1.1
Cn1cc(C(=O)O)cn1,1.6,1.7
CC(=O)N(C)CC(=O)O,69.5,59.8
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,2.7,2.7
C#C[Si](C)(C)C,0.8,1.0
CCOC(=O)c1cnc(Cl)cn1,47.4,27.2
Brc1c[nH]cn1,1.7,1.9
OB(O)c1ccccc1,0.8,0.8
O=C(O)CNC(=O)OCc1ccccc1,0.5,0.5
O=C(Cl)C1CCCCC1,2.7,2.7
CNCCO,3.2,3.2
CCI,2.8,3.2
O=C(O)c1cncc(Br)c1,0.6,0.5
COc1ccc(C(=O)Cl)cc1,2.2,2.2
CC(O)CN,3.2,1.9
CC(C)(C)[Si](C)(C)Cl,2.3,3.7
Cc1cc(C(=O)O)ccc1Br,1.0,0.8
Cc1cccc(C(=O)O)c1,1.2,1.2
O=C(OC(=O)C(F)(F)F)C(F)(F)F,2.7,2.7
Nc1cc(Cl)ncn1,0.6,0.6
NCC(=O)O,0.6,0.6
Cn1cc(C(=O)Cl)cn1,136.6,137.1
COc1ccc(C(=O)[O-])cc1,3.0,3.2
CCOC(=O)CN,38.5,0.7
CNCC(=O)O,1.2,1.0
COc1ccc(C(=O)O)cc1,3.0,3.2
CC(=O)O,3.0,0.5
CC(=O)Cl,2.7,2.7
Nn1cnnc1,0.6,0.6
O=C(Cl)CBr,2.0,2.8
O=S(=O)(Cl)c1ccccc1,3.2,2.2
COc1ccc(C(=O)O)cc1Br,1.6,1.7
Oc1ccc(-c2ccccc2)cc1,1.2,1.2
COC(=O)CN,18.7,0.8
CC(C)(C)OC(=O)NCC(=O)O,0.5,0.5
CC(C)(C)OC(=O)CBr,3.2,3.2
CS(N)(=O)=O,1.0,1.0
O=c1ccnc[nH]1,1.9,1.9
Ic1cccnc1,0.9,0.7
O=C(Cl)Oc1ccc([N+](=O)[O-])cc1,1.0,1.0
CN(N=O)C(N)=O,18.5,18.5
O=C(O)c1cccnc1,0.5,0.5
Nc1nc(Cl)nc2[nH]cnc12,3.2,2.7
CC(C)OB(OC(C)C)OC(C)C,3.2,3.2
ClCc1ccccc1,132.0,132.0
CC(C)(C)O,2.7,2.7
CS(=O)(=O)NCC(=O)O,58.8,49.1
OCc1cc(F)cc(F)c1,1.4,1.5
Clc1cc(Cl)ncn1,1.0,0.5
O=C(O)CCl,2.7,2.4
C[C@H](O)C(=O)O,3.2,0.9
CNc1cc(Cl)ncn1,4.1,2.1
CC(=O)OCC(=O)Cl,1.2,1.4
Nc1cnc(Cl)nc1,8.8,9.5
