,SMILES,numberofpaths
0,O=C(N(C)[C@@H](C1=CC=C(F)C=C1)CN2CCCC2)CC3=CC(F)=C(F)C=C3,10000
1,O=C(N(C)[C@@H](C4=CC=C(F)C=C4)CN5CCCC5)CC6=CC(Cl)=C(F)C=C6,10000
2,O=C(N(C)[C@@H](C7=CC=C(F)C=C7)CN8CCCC8)CC9=CC(F)=C(Cl)C=C9,10000
3,O=C(N(C)[C@@H](C%10=CC=C(F)C=C%10)CN%11CCCC%11)CC%12=CC(Cl)=C(Cl)C=C%12,10000
4,O=C(N(C)[C@@H](C%13=CC=C(Cl)C=C%13)CN%14CCCC%14)CC%15=CC(F)=C(F)C=C%15,10000
5,O=C(N(C)[C@@H](C%16=CC=C(Cl)C=C%16)CN%17CCCC%17)CC%18=CC(Cl)=C(F)C=C%18,10000
6,O=C(N(C)[C@@H](C%19=CC=C(Cl)C=C%19)CN%20CCCC%20)CC%21=CC(F)=C(Cl)C=C%21,10000
7,O=C(N(C)[C@@H](C%22=CC=C(Cl)C=C%22)CN%23CCCC%23)CC%24=CC(Cl)=C(Cl)C=C%24,10000
8,O=C(N(C)[C@@H](C%25=CC=C(C)C=C%25)CN%26CCCC%26)CC%27=CC(F)=C(F)C=C%27,10000
9,O=C(N(C)[C@@H](C%28=CC=C(C)C=C%28)CN%29CCCC%29)CC%30=CC(Cl)=C(F)C=C%30,10000
10,O=C(N(C)[C@@H](C%31=CC=C(C)C=C%31)CN%32CCCC%32)CC%33=CC(F)=C(Cl)C=C%33,10000
11,O=C(N(C)[C@@H](C%34=CC=C(C)C=C%34)CN%35CCCC%35)CC%36=CC(Cl)=C(Cl)C=C%36,10000
12,O=C(N(C)[C@@H](C%37=CC=CC=C%37)CN%38CCCC%38)CC%39=CC(F)=C(F)C=C%39,10000
13,O=C(N(C)[C@@H](C%40=CC=CC=C%40)CN%41CCCC%41)CC%42=CC(Cl)=C(F)C=C%42,10000
14,O=C(N(C)[C@@H](C%43=CC=CC=C%43)CN%44CCCC%44)CC%45=CC(F)=C(Cl)C=C%45,10000
15,O=C(N(C)[C@@H](C%46=CC=CC=C%46)CN%47CCCC%47)CC%48=CC(Cl)=C(Cl)C=C%48,10000
16,O=C(N(C)[C@@H](C%49=CC=C(F)C=C%49)CN%50CCOCC%50)CC%51=CC(F)=C(F)C=C%51,10000
17,O=C(N(C)[C@@H](C%52=CC=C(F)C=C%52)CN%53CCOCC%53)CC%54=CC(Cl)=C(F)C=C%54,10000
18,O=C(N(C)[C@@H](C%55=CC=C(F)C=C%55)CN%56CCOCC%56)CC%57=CC(F)=C(Cl)C=C%57,10000
19,O=C(N(C)[C@@H](C%58=CC=C(F)C=C%58)CN%59CCOCC%59)CC%60=CC(Cl)=C(Cl)C=C%60,10000
20,O=C(N(C)[C@@H](C%61=CC=C(Cl)C=C%61)CN%62CCOCC%62)CC%63=CC(F)=C(F)C=C%63,10000
21,O=C(N(C)[C@@H](C%64=CC=C(Cl)C=C%64)CN%65CCOCC%65)CC%66=CC(Cl)=C(F)C=C%66,10000
22,O=C(N(C)[C@@H](C%67=CC=C(Cl)C=C%67)CN%68CCOCC%68)CC%69=CC(F)=C(Cl)C=C%69,10000
23,O=C(N(C)[C@@H](C%70=CC=C(Cl)C=C%70)CN%71CCOCC%71)CC%72=CC(Cl)=C(Cl)C=C%72,10000
24,O=C(N(C)[C@@H](C%73=CC=C(C)C=C%73)CN%74CCOCC%74)CC%75=CC(F)=C(F)C=C%75,10000
25,O=C(N(C)[C@@H](C%76=CC=C(C)C=C%76)CN%77CCOCC%77)CC%78=CC(Cl)=C(F)C=C%78,10000
26,O=C(N(C)[C@@H](C%79=CC=C(C)C=C%79)CN%80CCOCC%80)CC%81=CC(F)=C(Cl)C=C%81,10000
27,O=C(N(C)[C@@H](C%82=CC=C(C)C=C%82)CN%83CCOCC%83)CC%84=CC(Cl)=C(Cl)C=C%84,10000
28,O=C(N(C)[C@@H](C%85=CC=CC=C%85)CN%86CCOCC%86)CC%87=CC(F)=C(F)C=C%87,10000
29,O=C(N(C)[C@@H](C%88=CC=CC=C%88)CN%89CCOCC%89)CC%90=CC(Cl)=C(F)C=C%90,10000
30,O=C(N(C)[C@@H](C%91=CC=CC=C%91)CN%92CCOCC%92)CC%93=CC(F)=C(Cl)C=C%93,10000
31,O=C(N(C)[C@@H](C%94=CC=CC=C%94)CN%95CCOCC%95)CC%96=CC(Cl)=C(Cl)C=C%96,10000
32,O=C(N(C)[C@@H](C%97=CC=C(F)C=C%97)CN(CC)CC)CC%98=CC(F)=C(F)C=C%98,10000
33,O=C(N(C)[C@@H](C%99=CC=C(F)C=C%99)CN(CC)CC)CC1=CC(Cl)=C(F)C=C1,10000
34,O=C(N(C)[C@@H](C1=CC=C(F)C=C1)CN(CC)CC)CC1=CC(F)=C(Cl)C=C1,10000
35,O=C(N(C)[C@@H](C1=CC=C(F)C=C1)CN(CC)CC)CC1=CC(Cl)=C(Cl)C=C1,10000
36,O=C(N(C)[C@@H](C1=CC=C(Cl)C=C1)CN(CC)CC)CC1=CC(F)=C(F)C=C1,10000
37,O=C(N(C)[C@@H](C1=CC=C(Cl)C=C1)CN(CC)CC)CC1=CC(Cl)=C(F)C=C1,10000
38,O=C(N(C)[C@@H](C1=CC=C(Cl)C=C1)CN(CC)CC)CC1=CC(F)=C(Cl)C=C1,10000
39,O=C(N(C)[C@@H](C1=CC=C(Cl)C=C1)CN(CC)CC)CC1=CC(Cl)=C(Cl)C=C1,10000
40,O=C(N(C)[C@@H](C1=CC=C(C)C=C1)CN(CC)CC)CC1=CC(F)=C(F)C=C1,10000
41,O=C(N(C)[C@@H](C1=CC=C(C)C=C1)CN(CC)CC)CC1=CC(Cl)=C(F)C=C1,10000
42,O=C(N(C)[C@@H](C1=CC=C(C)C=C1)CN(CC)CC)CC1=CC(F)=C(Cl)C=C1,10000
43,O=C(N(C)[C@@H](C1=CC=C(C)C=C1)CN(CC)CC)CC1=CC(Cl)=C(Cl)C=C1,10000
44,O=C(N(C)[C@@H](C1=CC=CC=C1)CN(CC)CC)CC1=CC(F)=C(F)C=C1,10000
45,O=C(N(C)[C@@H](C1=CC=CC=C1)CN(CC)CC)CC1=CC(Cl)=C(F)C=C1,10000
46,O=C(N(C)[C@@H](C1=CC=CC=C1)CN(CC)CC)CC1=CC(F)=C(Cl)C=C1,10000
47,O=C(N(C)[C@@H](C1=CC=CC=C1)CN(CC)CC)CC1=CC(Cl)=C(Cl)C=C1,10000
