strategy,N,Cumulative Reward,Starting Material Cost,Number of Reactions,Average Reaction Score
Reward Only,1,1.0,3.0,4,0.6931584260651236
Reward Only,11,11.0,531.5,40,0.8055058237926069
Reward Only,21,21.0,575.8,65,0.7597491138105655
Reward Only,31,30.4615,883.6000000000001,97,0.6846057368307387
Reward Only,41,39.6923,1046.1000000000004,130,0.6984264621628214
Reward Only,51,48.8462,1140.9000000000003,158,0.647992763159669
Reward Only,61,57.1538,1164.4000000000003,178,0.6470853383392139
Reward Only,71,64.5385,1375.5000000000005,195,0.6227538058325311
Reward Only,81,70.3846,1404.9000000000003,205,0.6193629970883631
Reward Only,91,74.8462,1435.9000000000003,213,0.6223807784902491
Reward Only,101,77.8462,1461.5000000000005,225,0.617318576347287
SA Score Only,1,0.2308,77.3,1,0.0
SA Score Only,11,4.7692,121.5,13,0.5476604529373916
SA Score Only,21,11.0,150.99999999999997,28,0.5892938236212456
SA Score Only,31,17.6923,274.29999999999995,45,0.6166543521498974
SA Score Only,41,25.6154,381.69999999999993,69,0.5755928129805653
SA Score Only,51,31.8462,541.5999999999999,83,0.5952589634478963
SA Score Only,61,40.0769,601.0,105,0.5787021382952349
SA Score Only,71,48.7692,809.7,134,0.5872348054608372
SA Score Only,81,57.6923,973.9,158,0.6239561422713424
SA Score Only,91,65.6923,990.4,185,0.6031304417773217
SA Score Only,101,74.6923,1470.1,221,0.620082037577165
Combined Score,1,0.9231,4.5,1,0.9999927891856604
Combined Score,11,8.6923,130.9,19,0.574696249714062
Combined Score,21,14.6154,197.79999999999995,34,0.5912860435848826
Combined Score,31,22.4615,244.0999999999999,55,0.583512709980029
Combined Score,41,28.9231,325.59999999999985,74,0.5749567713133191
Combined Score,51,36.9231,696.1999999999999,101,0.6062840405091078
Combined Score,61,45.7692,844.0,127,0.6138797932947029
Combined Score,71,54.5385,900.7000000000002,154,0.6221383209181638
Combined Score,81,59.8462,960.0000000000002,167,0.6286443076389647
Combined Score,91,68.0769,1232.2000000000005,193,0.6280286681232834
Combined Score,101,75.9231,1469.5000000000005,222,0.621766830569281
