ID,SMILES
C3,COc1cccc(N)c1
C306,Nc1cccc(O)c1
C307,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
C4,COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
C524,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
C525,Nc1ccc(N)cc1
C526,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
C527,O=C(Cl)c1ccccc1
C6,COc1cc2ncnc(Cl)c2cc1OC
R4,COc1cc2ncnc(Cl)c2cc1OC.COc1cccc(N)c1>>COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1
R429,COc1cc2ncnc(Cl)c2cc1OC.Nc1cccc(O)c1>>COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
R785,COc1cc2ncnc(Cl)c2cc1OC.Nc1ccc(N)cc1>>COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC
R786,COc1cc2ncnc(Nc3ccc(N)cc3)c2cc1OC.O=C(Cl)c1ccccc1>>COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC
